chinese,english,math,society,science,PR,H_GPA,M,M_10,M_5,M_3,M_2
74.37,43.55,94.18,0.01,84.9,89,0.941,27.67,H,F,F,F
74.37,74.55,87.56,66.22,91.01,84,4,91.67,A,A,A,A
74.37,84.49,87.56,80.31,71.01,96,2.703,83.5,B,B,A,A
18.37,57.13,94.18,0.01,71.01,86,1.054,45.67,F,F,F,F
28.23,37.48,94.18,36.04,71.01,83,2.21,68.33,D,D,B,A
57.9,37.48,94.18,66.22,91.01,80,3.228,73,C,C,B,A
28.23,37.48,94.18,50.7,63.74,85,2.055,61.67,D,D,B,A
74.37,49.91,87.56,50.7,78.15,87,2.4,75.33,C,C,B,A
41.87,74.55,87.56,66.22,84.9,87,3.157,74.67,C,C,B,A
28.23,49.91,100,36.04,71.01,81,0.894,33.67,G,F,F,F
57.9,49.91,94.18,36.04,84.9,81,1.187,66,D,D,B,A
18.37,43.55,87.56,23.94,78.15,7,3.555,77,C,C,B,A
28.23,65.06,87.56,23.94,78.15,85,1.815,55.33,E,F,F,F
41.87,25.18,94.18,23.94,78.15,85,3.305,88.33,B,B,A,A
41.87,65.06,87.56,36.04,71.01,85,2.972,73,C,C,B,A
57.9,57.13,87.56,36.04,84.9,77,2.342,66,D,D,B,A
74.37,65.06,94.18,0.01,71.01,90,1.75,68,D,D,B,A
28.23,74.55,94.18,14.85,63.74,69,1.411,61.33,D,D,B,A
57.9,37.48,87.56,50.7,91.01,92,3.472,83,B,B,A,A
74.37,65.06,87.56,0.01,71.01,65,3.368,81.33,B,B,A,A
41.87,84.49,87.56,0.01,63.74,71,3.95,97.67,A,A,A,A
41.87,57.13,94.18,3.53,71.01,56,0,10,J,F,F,F
57.9,37.48,87.56,50.7,78.15,75,3.026,81,B,B,A,A
41.87,43.55,94.18,0.01,78.15,80,3.5,86.67,B,B,A,A
41.87,57.13,87.56,23.94,78.15,72,1.272,29.67,H,F,F,F
41.87,49.91,87.56,8.21,55.86,55,2.057,57.5,E,F,F,F
28.23,43.55,87.56,36.04,78.15,80,2.5,67,D,D,B,A
74.37,31.6,94.18,0.01,78.15,93,2.5,71.67,C,C,B,A
18.37,57.13,87.56,66.22,63.74,93,0.948,37.67,G,F,F,F
57.9,25.18,94.18,0.01,63.74,89,2.531,71,C,C,B,A
41.87,37.48,87.56,0.01,71.01,80,3.405,82.33,B,B,A,A
57.9,57.13,87.56,80.31,78.15,75,1.333,39,G,F,F,F
41.87,31.6,87.56,36.04,84.9,83,1.38,55,E,F,F,F
41.87,18.16,100,66.22,78.15,91,2.055,57,E,F,F,F
57.9,18.16,100,36.04,71.01,80,2.222,60.33,D,D,B,A
57.9,31.6,87.56,36.04,71.01,66,3.527,84.33,B,B,A,A
28.23,57.13,87.56,36.04,63.74,73,2.394,80,C,B,B,A
41.87,65.06,87.56,36.04,63.74,77,1.516,55,E,F,F,F
57.9,43.55,87.56,36.04,63.74,85,0.5,21.33,H,F,F,F
18.37,18.16,100,50.7,71.01,66,2.5,68,D,D,B,A
28.23,43.55,87.56,50.7,63.74,81,0.74,45,F,F,F,F
57.9,57.13,87.56,80.31,47.07,81,2.8,74.67,C,C,B,A
88.28,49.91,94.18,36.04,55.86,81,2.361,56.67,E,F,F,F
57.9,65.06,87.56,0.01,63.74,85,1,41.33,F,F,F,F
74.37,49.91,87.56,23.94,55.86,47,2.166,83,B,B,A,A
41.87,74.55,87.56,0.01,23.69,71,1.111,12,I,F,F,F
28.23,43.55,94.18,36.04,55.86,81,1.777,55.67,E,F,F,F
41.87,31.6,87.56,50.7,78.15,54,3.125,80.33,B,B,A,A
88.28,25.18,94.18,8.21,71.01,78,0.258,10.5,I,F,F,F
41.87,37.48,87.56,0.01,63.74,50,2.473,51.67,E,F,F,F
18.37,37.48,87.56,14.85,78.15,86,1,58.33,E,F,F,F
28.23,43.55,87.56,8.21,47.07,49,0.818,21.67,H,F,F,F
74.37,31.6,87.56,14.85,78.15,69,1.916,66,D,D,B,A
57.9,37.48,87.56,50.7,78.15,71,2.378,68.67,D,D,B,A
41.87,25.18,94.18,80.31,55.86,71,0.47,29.67,H,F,F,F
28.23,57.13,94.18,23.94,36.62,75,1.558,61.67,D,D,B,A
74.37,57.13,87.56,14.85,55.86,75,1.371,68.67,D,D,B,A
57.9,57.13,87.56,50.7,71.01,69,3.289,76.33,C,C,B,A
41.87,43.55,87.56,66.22,55.86,60,0.827,31.5,G,F,F,F
74.37,37.48,87.56,0.01,63.74,62,1.655,65.67,D,D,B,A
11.77,37.48,94.18,14.85,55.86,64,3.027,70.33,C,C,B,A
18.37,43.55,87.56,0.01,78.15,57,2.75,79.67,C,C,B,A
74.37,31.6,100,80.31,78.15,81,3,81.67,B,B,A,A
57.9,25.18,94.18,50.7,71.01,75,2.638,52.33,E,F,F,F
57.9,49.91,87.56,0.01,63.74,73,3.294,83,B,B,A,A
41.87,43.55,87.56,66.22,63.74,62,2.351,53,E,F,F,F
41.87,57.13,87.56,0.01,63.74,65,1.264,49.33,F,F,F,F
41.87,31.6,87.56,50.7,84.9,54,3.722,92.33,A,A,A,A
57.9,49.91,87.56,0.01,63.74,55,0.944,33.67,G,F,F,F
2.32,1.57,26.86,8.21,0.01,79,0.727,5,J,F,F,F
28.23,31.6,73.1,14.85,36.62,36,3.512,72.67,C,C,B,A
