chinese,english,math,society,science,PR,H_GPA,avg,grade_10,grade_5,grade_3,grade_2
28.23,74.55,94.18,14.85,63.74,69,1.411,48.5,F,F,F,F
57.9,37.48,87.56,50.7,91.01,92,3.472,83.4,B,B,A,A
74.37,65.06,87.56,0.01,71.01,65,3.368,80.6,B,B,A,A
41.87,84.49,87.56,0.01,63.74,71,3.95,92.5,A,A,A,A
41.87,57.13,94.18,3.53,71.01,56,0,9.2,J,F,F,F
57.9,37.48,87.56,50.7,78.15,75,3.026,74.2,C,C,B,A
41.87,43.55,94.18,0.01,78.15,80,3.5,82.3,B,B,A,A
41.87,57.13,87.56,23.94,78.15,72,1.272,41.56,F,F,F,F
41.87,49.91,87.56,8.21,55.86,55,2.057,68.67,D,D,B,A
28.23,43.55,87.56,36.04,78.15,80,2.5,63.6,D,D,B,A
74.37,31.6,94.18,0.01,78.15,93,2.5,67,D,D,B,A
18.37,57.13,87.56,66.22,63.74,93,0.948,49.1,F,F,F,F
57.9,25.18,94.18,0.01,63.74,89,2.531,68.3,D,D,B,A
41.87,37.48,87.56,0.01,71.01,80,3.405,78.89,C,C,B,A
57.9,57.13,87.56,80.31,78.15,75,1.333,56.7,E,F,F,F
41.87,31.6,87.56,36.04,84.9,83,1.38,56.9,E,F,F,F
41.87,18.16,100,66.22,78.15,91,2.055,66.1,D,D,B,A
57.9,18.16,100,36.04,71.01,80,2.222,67.2,D,D,B,A
57.9,31.6,87.56,36.04,71.01,66,3.527,81,B,B,A,A
28.23,57.13,87.56,36.04,63.74,73,2.394,64.6,D,D,B,A
41.87,65.06,87.56,36.04,63.74,77,1.516,61.78,D,D,B,A
57.9,43.55,87.56,36.04,63.74,85,0.5,23,H,F,F,F
18.37,18.16,100,50.7,71.01,66,2.5,72.1,C,C,B,A
28.23,43.55,87.56,50.7,63.74,81,0.74,46.75,F,F,F,F
57.9,57.13,87.56,80.31,47.07,81,2.8,69.78,D,D,B,A
88.28,49.91,94.18,36.04,55.86,81,2.361,69,D,D,B,A
57.9,65.06,87.56,0.01,63.74,85,1,43.7,F,F,F,F
74.37,49.91,87.56,23.94,55.86,47,2.166,65.4,D,D,B,A
41.87,74.55,87.56,0.01,23.69,71,1.111,32.3,G,F,F,F
28.23,43.55,94.18,36.04,55.86,81,1.777,63.6,D,D,B,A
41.87,31.6,87.56,50.7,78.15,54,3.125,75.4,C,C,B,A
88.28,25.18,94.18,8.21,71.01,78,0.258,25.78,H,F,F,F
41.87,37.48,87.56,0.01,63.74,50,2.473,70.3,C,C,B,A
18.37,37.48,87.56,14.85,78.15,86,1,47.78,F,F,F,F
28.23,43.55,87.56,8.21,47.07,49,0.818,36.11,G,F,F,F
74.37,31.6,87.56,14.85,78.15,69,1.916,63.3,D,D,B,A
57.9,37.48,87.56,50.7,78.15,71,2.378,68.44,D,D,B,A
41.87,25.18,94.18,80.31,55.86,71,0.47,35.3,G,F,F,F
28.23,57.13,94.18,23.94,36.62,75,1.558,60,E,D,B,A
74.37,57.13,87.56,14.85,55.86,75,1.371,55.89,E,F,F,F
57.9,57.13,87.56,50.7,71.01,69,3.289,79.1,C,C,B,A
41.87,43.55,87.56,66.22,55.86,60,0.827,45.44,F,F,F,F
74.37,37.48,87.56,0.01,63.74,62,1.655,50.86,E,F,F,F
11.77,37.48,94.18,14.85,55.86,64,3.027,74,C,C,B,A
18.37,43.55,87.56,0.01,78.15,57,2.75,73.8,C,C,B,A
74.37,31.6,100,80.31,78.15,81,3,68.6,D,D,B,A
57.9,25.18,94.18,50.7,71.01,75,2.638,69.2,D,D,B,A
57.9,49.91,87.56,0.01,63.74,73,3.294,79.4,C,C,B,A
41.87,43.55,87.56,66.22,63.74,62,2.351,66.56,D,D,B,A
41.87,57.13,87.56,0.01,63.74,65,1.264,57.6,E,F,F,F
41.87,31.6,87.56,50.7,84.9,54,3.722,86.4,B,B,A,A
57.9,49.91,87.56,0.01,63.74,55,0.944,45.9,F,F,F,F
2.32,1.57,26.86,8.21,0.01,79,0.727,29.22,H,F,F,F
28.23,31.6,73.1,14.85,36.62,36,3.512,84.3,B,B,A,A
