chinese,english,math,society,science,PR,H_GPA,B,B_10,B_5,B_3,B_2
61.62,65.01,89.52,64.4,89.35,86,3.772,81.67,B,B,A,A
30.45,84.64,85.12,27.58,82.8,69,0.816,76,C,C,B,A
77.65,65.01,85.12,52.26,82.8,63,3.648,81.33,B,B,A,A
61.62,41.72,93.81,52.26,89.35,73,1.394,53.33,E,F,F,F
30.45,74.96,93.81,37.76,75.28,55,3.385,94,A,A,A,A
77.65,94.48,85.12,37.76,75.28,35,1.323,59.33,E,F,F,F
77.65,74.96,100,78.79,89.35,98,0.787,48.67,F,F,F,F
61.62,41.72,85.12,78.79,82.8,96,3.042,79,C,C,B,A
77.65,29.35,89.52,52.26,82.8,80,2.059,69.67,D,D,B,A
61.62,41.72,85.12,52.26,82.8,80,3.013,66,D,D,B,A
30.45,48.84,89.52,52.26,75.28,80,2.014,73.67,C,C,B,A
77.65,48.84,85.12,64.4,82.8,75,2.402,82.33,B,B,A,A
77.65,65.01,85.12,64.4,66.62,89,2.116,66.67,D,D,B,A
77.65,56.09,85.12,52.26,66.62,89,1.466,80,C,B,B,A
45.06,41.72,89.52,88.53,75.28,80,3.6,76.33,C,C,B,A
19.15,56.09,85.12,27.58,56.84,83,3.444,80,C,B,B,A
30.45,29.35,89.52,64.4,75.28,83,1.914,78.33,C,C,B,A
61.62,65.01,89.52,52.26,56.84,80,1.487,40.33,F,F,F,F
61.62,48.84,85.12,27.58,66.62,85,1.584,62,D,D,B,A
61.62,48.84,85.12,37.76,75.28,85,2.697,60.67,D,D,B,A
19.15,29.35,93.81,27.58,45.98,69,1.551,67.33,D,D,B,A
45.06,35.1,85.12,64.4,75.28,91,1.469,75.67,C,C,B,A
11.45,16.34,93.81,27.58,89.35,79,1.969,47.33,F,F,F,F
61.62,65.01,85.12,64.4,82.8,81,0.887,57,E,F,F,F
45.06,41.72,85.12,27.58,75.28,73,3.051,77.33,C,C,B,A
45.06,74.96,85.12,52.26,75.28,72,3.855,60.33,D,D,B,A
90.05,74.96,79.25,78.79,66.62,91,2.533,49.33,F,F,F,F
